NDVI,date
-9999,2025-10-01
-9999,2025-10-02
-9999,2025-10-03
-9999,2025-10-04
-9999,2025-10-05
-9999,2025-10-06
-9999,2025-10-07
-9999,2025-10-08
-9999,2025-10-09
-9999,2025-10-10
-9999,2025-10-11
-9999,2025-10-12
-9999,2025-10-13
-9999,2025-10-14
-9999,2025-10-15
-9999,2025-10-16
-9999,2025-10-17
-9999,2025-10-18
-9999,2025-10-19
-9999,2025-10-20
-9999,2025-10-21
-9999,2025-10-22
-9999,2025-10-23
-9999,2025-10-24
-9999,2025-10-25
-9999,2025-10-26
-9999,2025-10-27
-9999,2025-10-28
-9999,2025-10-29
-9999,2025-10-30
-9999,2025-10-31
-9999,2025-11-01
-9999,2025-11-02
-9999,2025-11-03
-9999,2025-11-04
-9999,2025-11-05
-9999,2025-11-06
-9999,2025-11-07
-9999,2025-11-08
-9999,2025-11-09
-9999,2025-11-10
-9999,2025-11-11
-9999,2025-11-12
-9999,2025-11-13
-9999,2025-11-14
-9999,2025-11-15
-9999,2025-11-16
-9999,2025-11-17
-9999,2025-11-18
-9999,2025-11-19
-9999,2025-11-20
-9999,2025-11-21
-9999,2025-11-22
-9999,2025-11-23
-9999,2025-11-24
-9999,2025-11-25
-9999,2025-11-26
-9999,2025-11-27
-9999,2025-11-28
-9999,2025-11-29
-9999,2025-11-30
-9999,2025-12-01
-9999,2025-12-02
-9999,2025-12-03
-9999,2025-12-04
-9999,2025-12-05
-9999,2025-12-06
-9999,2025-12-07
-9999,2025-12-08
-9999,2025-12-09
-9999,2025-12-10
-9999,2025-12-11
-9999,2025-12-12
-9999,2025-12-13
-9999,2025-12-14
-9999,2025-12-15
-9999,2025-12-16
-9999,2025-12-17
-9999,2025-12-18
-9999,2025-12-19
-9999,2025-12-20
-9999,2025-12-21
-9999,2025-12-22
-9999,2025-12-23
-9999,2025-12-24
-9999,2025-12-25
-9999,2025-12-26
-9999,2025-12-27
-9999,2025-12-28
-9999,2025-12-29
-9999,2025-12-30
-9999,2025-12-31
