date,MJ/m2
2000-06-30,8552.215166915506
2000-07-31,8945.476525686356
2000-08-31,8787.250911339825
2000-09-30,7687.016191828093
2000-10-31,5685.865842266184
2000-11-30,3036.9505923269585
2000-12-31,1635.3067353809588
2001-01-31,1916.2051051336316
2001-02-28,1990.0037645108805
2001-03-31,3030.571861605695
2001-04-30,3730.6245508102443
2001-05-31,6587.419005143819
2001-06-30,8710.314212859943
2001-07-31,8963.744604933201
2001-08-31,9263.307578980774
2001-09-30,7476.27833766737
2001-10-31,5959.298978522101
2001-11-30,2338.3174382358116
2001-12-31,1541.0272117347465
2002-01-31,1833.671719996279
2002-02-28,1693.3492022171588
2002-03-31,2595.4022607890083
2002-04-30,2964.981147950671
2002-05-31,4623.044788279179
2002-06-30,7177.348461382871
2002-07-31,9207.391314592465
2002-08-31,8368.27589401969
2002-09-30,7043.853495381961
2002-10-31,6473.682965805653
2002-11-30,4097.4514580492105
2002-12-31,1823.3381183822041
2003-01-31,2076.311800188945
2003-02-28,1507.3296177621717
2003-03-31,2156.6224252650322
2003-04-30,2850.459964625384
2003-05-31,3801.742127299331
2003-06-30,6474.268442510193
2003-07-31,8981.455590644708
2003-08-31,8658.421277381998
2003-09-30,7017.65768993889
2003-10-31,5191.1220186109285
2003-11-30,2888.987973839188
2003-12-31,1689.125349131832
2004-01-31,1324.294638167946
2004-02-29,1786.0771959820672
2004-03-31,2867.353200404217
2004-04-30,3301.408372988248
2004-05-31,4927.320227168047
2004-06-30,7201.999264021
2004-07-31,9308.793295347206
2004-08-31,9032.805099381052
2004-09-30,7888.005398351591
2004-10-31,3482.638175918029
2004-11-30,2875.845207233044
2004-12-31,1733.595610852936
2005-01-31,1394.5320532929118
2005-02-28,1274.2451583591596
2005-03-31,2278.2549467375616
2005-04-30,2976.272739659126
2005-05-31,4146.180540036417
2005-06-30,6022.679496729302
2005-07-31,7909.960060196632
2005-08-31,9205.385007208864
2005-09-30,7800.69604347261
2005-10-31,5540.467863984822
2005-11-30,3268.354112927606
2005-12-31,2590.4758002990543
2006-01-31,1169.768120458106
2006-02-28,1440.5892379766974
2006-03-31,2469.7969925061893
2006-04-30,3144.130296096478
2006-05-31,6168.69777050538
2006-06-30,7614.864979587662
2006-07-31,9088.445058710417
2006-08-31,7940.561455685359
2006-09-30,7300.208503941874
2006-10-31,6174.014707979042
2006-11-30,3102.6731836152435
2006-12-31,1289.1249958114774
2007-01-31,1881.4902650561642
2007-02-28,1892.6692635678273
2007-03-31,2200.2554489206905
2007-04-30,4179.626998654591
2007-05-31,6511.485515139691
2007-06-30,7946.438729717448
2007-07-31,9370.734439825108
2007-08-31,9061.897876007926
2007-09-30,7230.343847038618
2007-10-31,5896.853919290791
2007-11-30,4743.417144612364
2007-12-31,1989.4304906418054
2008-01-31,1258.2235538407888
2008-02-29,1727.9948961585476
2008-03-31,3024.3329355724727
2008-04-30,3293.5176050597915
2008-05-31,5541.849557410491
2008-06-30,8758.37668868166
2008-07-31,9759.438904843944
2008-08-31,8710.492834256096
2008-09-30,6772.812492831262
2008-10-31,5569.547483888043
2008-11-30,3174.068373182007
2008-12-31,1731.0225294938477
2009-01-31,1267.5593193403945
2009-02-28,1393.9461999106852
2009-03-31,2362.5138683995915
2009-04-30,2790.174388673393
2009-05-31,4390.398621035162
2009-06-30,6073.248299767117
2009-07-31,8055.889924134729
2009-08-31,9392.336221502565
2009-09-30,7461.122310099502
2009-10-31,6150.978445000224
2009-11-30,2489.306956709005
2009-12-31,1408.398224980968
2010-01-31,1863.9013217356605
2010-02-28,1386.0514615787865
2010-03-31,2643.58943399164
2010-04-30,2967.776730244272
2010-05-31,3947.4333074069987
2010-06-30,5290.181238514402
2010-07-31,6993.666270126868
2010-08-31,7523.770444849345
2010-09-30,6905.023700873348
2010-10-31,5874.762223743639
2010-11-30,4084.2364527240975
2010-12-31,3479.301219583094
2011-01-31,1764.623578767906
2011-02-28,1360.995588572817
2011-03-31,2381.479938591318
2011-04-30,3051.0842060920277
2011-05-31,5277.7202616112845
2011-06-30,7981.615108021022
2011-07-31,9089.759642307072
2011-08-31,8745.707518697356
2011-09-30,7107.418028490203
2011-10-31,5602.820648292515
2011-11-30,2642.365666081732
2011-12-31,2185.0824692474594
2012-01-31,1608.9750260989686
2012-02-29,1539.0628317704045
2012-03-31,2154.9570828282003
2012-04-30,3317.356370903926
2012-05-31,4668.125034464386
2012-06-30,6747.163844686474
2012-07-31,9291.851453500272
2012-08-31,8550.436818151593
2012-09-30,6474.405080240779
2012-10-31,5390.174597881049
2012-11-30,3530.974551124715
2012-12-31,1490.2536846182002
2013-01-31,1565.6030160756056
2013-02-28,1478.362505181664
2013-03-31,2482.616811490828
2013-04-30,3304.39880223299
2013-05-31,4439.621733021648
2013-06-30,6628.61511190327
2013-07-31,8834.606590857848
2013-08-31,8043.120219621227
2013-09-30,8086.698721428471
2013-10-31,6036.386174144613
2013-11-30,2782.5595136316347
2013-12-31,2291.381494746672
2014-01-31,1788.5293813436294
2014-02-28,1595.6764507042653
2014-03-31,2122.5961339450855
2014-04-30,2892.9922525721604
2014-05-31,4800.566273529589
2014-06-30,7083.695827666577
2014-07-31,9001.459441762034
2014-08-31,8885.129180533711
2014-09-30,6912.330886063248
2014-10-31,5211.565737301594
2014-11-30,2476.290185025487
2014-12-31,1961.4436877514568
2015-01-31,1720.55782184858
2015-02-28,1515.4644036267348
2015-03-31,2251.9855753778056
2015-04-30,3063.684255296916
2015-05-31,4721.819034061028
2015-06-30,6099.335099198278
2015-07-31,7816.261441014102
2015-08-31,8792.130045606926
2015-09-30,6832.618430438955
2015-10-31,4576.153610111404
2015-11-30,1819.7700847555316
2015-12-31,1572.9365505738144
2016-01-31,1748.506578973031
2016-02-29,2007.6858567956242
2016-03-31,2548.082312741782
2016-04-30,3059.330316429049
2016-05-31,5279.164209294033
2016-06-30,7551.58267534005
2016-07-31,9147.137417009062
2016-08-31,8538.914211052865
2016-09-30,8048.167900729366
2016-10-31,6259.700686427265
2016-11-30,3734.5069130501456
2016-12-31,2005.038076044209
2017-01-31,1364.2046716718028
2017-02-28,1486.155317649873
2017-03-31,2352.3339374809475
2017-04-30,3002.1438543647087
2017-05-31,5368.841329684235
2017-06-30,7058.035238268371
2017-07-31,8724.907734490098
2017-08-31,8833.770092233553
2017-09-30,7568.050547410376
2017-10-31,6226.350017088622
2017-11-30,4162.936626672243
2017-12-31,1710.9481884000309
2018-01-31,1932.893753283838
2018-02-28,1819.1609913505079
2018-03-31,2786.2441870597895
2018-04-30,3887.611000589972
2018-05-31,4981.056899412634
2018-06-30,7338.751000503459
2018-07-31,8566.879309094247
2018-08-31,9018.437410794306
2018-09-30,6970.996642999472
2018-10-31,4020.4081437393384
2018-11-30,1717.5829351855505
2018-12-31,1955.3502075223325
2019-01-31,1355.7115692908103
2019-02-28,1388.364906270403
2019-03-31,2417.1288473896107
2019-04-30,3463.393373797746
2019-05-31,4912.039659978948
2019-06-30,5862.160679979092
2019-07-31,8241.561935937962
2019-08-31,8456.872141007052
2019-09-30,8284.402656114622
2019-10-31,5299.07324518362
2019-11-30,1760.8741915330618
2019-12-31,1565.117040029206
2020-01-31,1293.7526139852678
2020-02-29,2022.448865376535
2020-03-31,2666.932979485815
2020-04-30,3358.9367857864972
2020-05-31,5239.651391624553
2020-06-30,7417.830968657922
2020-07-31,9004.902903787612
2020-08-31,8578.225486120107
2020-09-30,7521.422222995878
2020-10-31,6333.062990670331
2020-11-30,3005.5384320837798
2020-12-31,1357.5624354561337
2021-01-31,1782.0751668750704
2021-02-28,2201.893486443971
2021-03-31,2331.1769949446552
2021-04-30,2957.554366816976
2021-05-31,5186.508875710103
2021-06-30,7198.556277534126
2021-07-31,8425.857525335858
2021-08-31,8820.165330606402
2021-09-30,7856.073720587918
2021-10-31,4767.807836632481
2021-11-30,2309.427712840661
2021-12-31,2043.0020196803594
2022-01-31,1415.5942819537884
2022-02-28,1785.5094808112776
2022-03-31,2844.4254107126435
2022-04-30,4614.199994673333
2022-05-31,7110.840866750658
2022-06-30,8089.9533083374
2022-07-31,8684.218252782062
2022-08-31,7900.887172720912
2022-09-30,7380.097778567408
2022-10-31,5094.953368094719
2022-11-30,2096.463810177861
2022-12-31,1898.7676532064543
2023-01-31,1444.7112453696402
2023-02-28,1493.9882836473193
2023-03-31,2871.5917128751007
2023-04-30,3315.7439769206644
2023-05-31,4094.8914304688456
2023-06-30,6252.079817648756
2023-07-31,7506.842991940346
2023-08-31,9039.759321691521
2023-09-30,7795.5529428936
2023-10-31,4839.160992705142
2023-11-30,3577.452302843721
2023-12-31,2985.5684770085527
2024-01-31,3311.773167946842
2024-02-29,1817.913336446302
2024-03-31,2325.38179895151
2024-04-30,3198.1060576543805
2024-05-31,5575.834142029826
2024-06-30,7710.567540459669
2024-07-31,9574.73645622617
2024-08-31,8344.421495185175
2024-09-30,7732.084665514893
2024-10-31,6238.605709841895
2024-11-30,3350.618297832668
2024-12-31,2321.7638271314354
2025-01-31,1594.5592362165703
2025-02-28,1757.8928996007335
2025-03-31,2361.4380625632143
2025-04-30,3655.2008924386023
2025-05-31,6303.037310584476
2025-06-30,7963.486327954124
2025-07-31,8614.751440128512
2025-08-31,8286.906125936148
2025-09-30,7608.462356347224
2025-10-31,4767.830710959029
2025-11-30,4487.089468680163
2025-12-31,2562.699234110597
