date,sca_km2
2000-06-30,15695.091987669004
2000-07-31,6188.4349626529065
2000-08-31,10114.130241438372
2000-09-30,12888.810599153407
2000-10-31,19583.6237360288
2000-11-30,21183.674218299217
2000-12-31,36902.80038527945
2001-01-31,35286.36877045779
2001-02-28,25131.303245473955
2001-03-31,46124.160930939994
2001-04-30,34841.22505249145
2001-05-31,37103.59271544621
2001-06-30,19325.23853833783
2001-07-31,10008.670846816332
2001-08-31,9942.814732815174
2001-09-30,14999.81931449766
2001-10-31,27495.641844724003
2001-11-30,52083.95941703486
2001-12-31,34206.69039649214
2002-01-31,50614.96103990027
2002-02-28,30466.26062069571
2002-03-31,57683.442043691735
2002-04-30,41542.52153514109
2002-05-31,41644.82151729908
2002-06-30,29683.6402331422
2002-07-31,11222.449887183748
2002-08-31,12334.558266893753
2002-09-30,14936.98314549575
2002-10-31,24988.32286571158
2002-11-30,25497.316897726807
2002-12-31,20704.89209237855
2003-01-31,19289.24983884913
2003-02-28,24566.683633457975
2003-03-31,27161.848478383392
2003-04-30,44836.5070364214
2003-05-31,42845.964282876856
2003-06-30,35350.1665524691
2003-07-31,18789.20751653323
2003-08-31,7810.219279550406
2003-09-30,12825.099311109985
2003-10-31,40367.71672513756
2003-11-30,32640.535620685267
2003-12-31,18390.021769043982
2004-01-31,24113.672448969042
2004-02-29,49067.49748090081
2004-03-31,46150.31196062484
2004-04-30,33003.45795949033
2004-05-31,45897.22520887404
2004-06-30,25090.852587250094
2004-07-31,13965.86149430684
2004-08-31,11404.794824368439
2004-09-30,16392.18775054398
2004-10-31,36703.18871195528
2004-11-30,38248.79514912641
2004-12-31,18909.696108301985
2005-01-31,35723.65276190243
2005-02-28,14871.470726849253
2005-03-31,34710.91682861487
2005-04-30,46489.99807285245
2005-05-31,25892.87865565575
2005-06-30,41082.255906344006
2005-07-31,16319.874658471414
2005-08-31,13111.046524649011
2005-09-30,15605.38222356248
2005-10-31,30175.023673694843
2005-11-30,23410.86334344422
2005-12-31,32220.802682480506
2006-01-31,20150.01146223726
2006-02-28,29527.950112072413
2006-03-31,38211.54963780661
2006-04-30,51283.649520408224
2006-05-31,45493.76441600549
2006-06-30,21003.948026468533
2006-07-31,17872.493245315316
2006-08-31,6477.585784955661
2006-09-30,18116.313826177324
2006-10-31,23658.51162277434
2006-11-30,27242.749530423913
2006-12-31,37378.24114525296
2007-01-31,46594.27564315977
2007-02-28,19075.54963375376
2007-03-31,40148.26622914059
2007-04-30,58792.63032384228
2007-05-31,27139.849336633783
2007-06-30,25674.494582605468
2007-07-31,12879.37288442068
2007-08-31,7738.83861012902
2007-09-30,13296.227387243382
2007-10-31,20351.485753182023
2007-11-30,20731.187628941654
2007-12-31,22722.813127586076
2008-01-31,15748.069460296872
2008-02-29,38435.64972608461
2008-03-31,45594.265005553454
2008-04-30,35238.68242230066
2008-05-31,36108.60372150191
2008-06-30,20088.085420448882
2008-07-31,11093.9229203584
2008-08-31,8901.75537484543
2008-09-30,21977.90570746086
2008-10-31,26799.32472360228
2008-11-30,25829.221405156968
2008-12-31,32398.120899406073
2009-01-31,29951.013510591096
2009-02-28,30281.442082442616
2009-03-31,33591.76867473063
2009-04-30,34791.93667363114
2009-05-31,48267.17448680888
2009-06-30,26619.476729971484
2009-07-31,23287.40159565916
2009-08-31,18939.4805775704
2009-09-30,18899.38057598307
2009-10-31,19150.574114631887
2009-11-30,34975.22284324011
2009-12-31,35013.13497446384
2010-01-31,37224.812688705155
2010-02-28,20376.4470534705
2010-03-31,45060.10317087391
2010-04-30,34254.06064044298
2010-05-31,37029.69874254918
2010-06-30,28591.226080277767
2010-07-31,24993.022280388697
2010-08-31,12424.51821634189
2010-09-30,12753.806007212095
2010-10-31,30557.547487929274
2010-11-30,30086.729637414403
2010-12-31,17388.91261536345
2011-01-31,36386.40745997303
2011-02-28,20382.730034076296
2011-03-31,47454.21930433659
2011-04-30,53292.26539030595
2011-05-31,47910.15863814949
2011-06-30,25568.78539928483
2011-07-31,10348.73217475509
2011-08-31,11648.655161795641
2011-09-30,14717.445695709413
2011-10-31,22473.538537569195
2011-11-30,25616.682605117137
2011-12-31,28335.980969993358
2012-01-31,26371.952656969843
2012-02-29,18420.67880545181
2012-03-31,26422.13169597908
2012-04-30,28458.092853401064
2012-05-31,31129.7742411499
2012-06-30,23747.180504323795
2012-07-31,17681.67146813108
2012-08-31,9653.004829646492
2012-09-30,12057.9435994707
2012-10-31,27928.75679889039
2012-11-30,31815.812608865726
2012-12-31,31389.038474448902
2013-01-31,39090.08779327089
2013-02-28,26262.070245504725
2013-03-31,44684.04123545196
2013-04-30,32453.087367149776
2013-05-31,38828.60921365224
2013-06-30,36008.470203541816
2013-07-31,17107.43090495986
2013-08-31,8900.394835712394
2013-09-30,16679.457643523798
2013-10-31,20894.38480316019
2013-11-30,37787.99972696367
2013-12-31,21733.43778645753
2014-01-31,32368.436137672827
2014-02-28,24713.285756277335
2014-03-31,28822.5561696204
2014-04-30,39314.90724247249
2014-05-31,33884.02649845149
2014-06-30,34525.83246736814
2014-07-31,17688.79756613097
2014-08-31,11754.791386318604
2014-09-30,22917.953618483676
2014-10-31,21272.479731157702
2014-11-30,34365.96524566661
2014-12-31,28171.54774875952
2015-01-31,30135.473227130355
2015-02-28,25484.72520249835
2015-03-31,32140.16132766356
2015-04-30,55274.40657658417
2015-05-31,39451.563714611875
2015-06-30,27367.43857848033
2015-07-31,20933.74520904158
2015-08-31,9768.756582064998
2015-09-30,17813.73801971953
2015-10-31,42865.098457610395
2015-11-30,33722.18522189132
2015-12-31,42723.38436025918
2016-01-31,40735.164017902156
2016-02-29,41517.67656895226
2016-03-31,33114.526490220895
2016-04-30,35098.50402070048
2016-05-31,42283.39535270098
2016-06-30,24611.922278035836
2016-07-31,12285.800862375128
2016-08-31,5300.63208943765
2016-09-30,16679.64428934477
2016-10-31,16552.693583202774
2016-11-30,13946.44247422987
2016-12-31,30105.478342625895
2017-01-31,17013.660887229988
2017-02-28,40943.795426435885
2017-03-31,29264.063832578187
2017-04-30,49735.62095180927
2017-05-31,44455.1995879879
2017-06-30,27575.868072807676
2017-07-31,11625.992372152137
2017-08-31,8894.402070646891
2017-09-30,12809.489084927802
2017-10-31,18887.937567112578
2017-11-30,21237.745444700522
2017-12-31,25583.559399002505
2018-01-31,40561.980785030704
2018-02-28,25589.366275196055
2018-03-31,44661.19983433922
2018-04-30,47069.252922671054
2018-05-31,29397.949927797046
2018-06-30,23093.262392351506
2018-07-31,12584.435070981046
2018-08-31,10223.936659464203
2018-09-30,16697.70479157952
2018-10-31,34474.47922255777
2018-11-30,38771.282997157825
2018-12-31,46178.08237748514
2019-01-31,26477.043243931384
2019-02-28,24344.07923763848
2019-03-31,40189.3419125896
2019-04-30,44066.99839462366
2019-05-31,38975.62888263504
2019-06-30,26970.667597531192
2019-07-31,25764.123258706277
2019-08-31,10819.563895714955
2019-09-30,14612.094009303923
2019-10-31,21256.21232367977
2019-11-30,25949.834707092956
2019-12-31,51121.62220310126
2020-01-31,31212.682959359667
2020-02-29,56406.42615246252
2020-03-31,35028.46901521319
2020-04-30,44248.44092377261
2020-05-31,34293.25422023796
2020-06-30,26969.162177003538
2020-07-31,15143.73322346403
2020-08-31,10631.482715801776
2020-09-30,13812.28815284301
2020-10-31,19326.600119231185
2020-11-30,23546.112961564642
2020-12-31,35518.78830609941
2021-01-31,50536.901779402084
2021-02-28,36720.2623106996
2021-03-31,23920.37900395657
2021-04-30,45819.79251522433
2021-05-31,37274.20373933068
2021-06-30,28850.609194249315
2021-07-31,15501.967616777823
2021-08-31,9047.690255321177
2021-09-30,16877.514870605082
2021-10-31,31784.931938333237
2021-11-30,48010.443476045344
2021-12-31,35308.07633433587
2022-01-31,30529.07345484956
2022-02-28,36973.919463451595
2022-03-31,45281.36473040607
2022-04-30,47013.76978704685
2022-05-31,24798.524511238662
2022-06-30,19075.8122220734
2022-07-31,12062.115257751251
2022-08-31,6356.644570691417
2022-09-30,16345.343494799157
2022-10-31,27253.633953701483
2022-11-30,43200.95275909269
2022-12-31,33115.42790288577
2023-01-31,26589.760121670875
2023-02-28,30346.205886277225
2023-03-31,42864.252875684426
2023-04-30,46745.46058614886
2023-05-31,33371.09159493405
2023-06-30,35120.316937666736
2023-07-31,13757.60131342428
2023-08-31,13038.411253352806
2023-09-30,14035.759781876013
2023-10-31,32968.57057184322
2023-11-30,31274.89233722473
2023-12-31,31082.69550236418
2024-01-31,21114.130001794736
2024-02-29,33409.59063547994
2024-03-31,34710.393906848316
2024-04-30,39953.250394740935
2024-05-31,51088.43202903794
2024-06-30,21712.173395239315
2024-07-31,13903.144812580542
2024-08-31,9028.70692811027
2024-09-30,13007.263150748131
2024-10-31,20729.155314549815
2024-11-30,31244.886536395457
2024-12-31,32519.832856028126
2025-01-31,33978.61633721877
2025-02-28,32174.111135530064
2025-03-31,42003.27053297101
2025-04-30,60577.01974881834
2025-05-31,38903.43265971276
2025-06-30,25382.326902663506
2025-07-31,9439.384405736271
2025-08-31,11256.24746781228
2025-09-30,16691.511775832176
2025-10-31,34178.031965914975
2025-11-30,26484.525265705524
