lag_precip,lag_sca,lag_dd,lag_et,nse
0,0,0,0,0.17187970701088828
0,0,0,1,0.31434645970664854
0,0,1,0,0.18393463701675083
0,0,1,1,0.3140180219231078
0,0,2,0,0.21570314217462905
0,0,2,1,0.35950674220342327
0,1,0,0,0.17398213959008557
0,1,0,1,0.3178096005424652
0,1,1,0,0.18994528772013386
0,1,1,1,0.3265276660391633
0,1,2,0,0.20778479853305465
0,1,2,1,0.38096607895255963
0,2,0,0,0.1779283655352094
0,2,0,1,0.31035024654072063
0,2,1,0,0.1870122416707104
0,2,1,1,0.3170833142436632
0,2,2,0,0.20287826548702648
0,2,2,1,0.36663078065554944
0,3,0,0,0.17798191774091499
0,3,0,1,0.30909159405372355
0,3,1,0,0.20278090088945977
0,3,1,1,0.3205765665916933
0,3,2,0,0.22309896327246304
0,3,2,1,0.3734268883094596
