date,NDVI
2000-02-18,-9999
2000-03-05,-9999
2000-03-21,-9999
2000-04-06,-9999
2000-04-22,-9999
2000-05-08,-9999
2000-05-24,-9999
2000-06-09,-9999
2000-06-25,-9999
2000-07-11,-9999
2000-07-27,-9999
2000-08-12,-9999
2000-08-28,-9999
2000-09-13,-9999
2000-09-29,-9999
2000-10-15,-9999
2000-10-31,-9999
2000-11-16,-9999
2000-12-02,-9999
2000-12-18,-9999
2001-01-03,-9999
2001-01-19,-9999
2001-02-04,-9999
2001-02-20,-9999
2001-03-08,-9999
2001-03-24,-9999
2001-04-09,-9999
2001-04-25,-9999
2001-05-11,-9999
2001-05-27,-9999
2001-06-12,-9999
2001-06-28,-9999
2001-07-14,-9999
2001-07-30,-9999
2001-08-15,-9999
2001-08-31,-9999
2001-09-16,-9999
2001-10-02,-9999
2001-10-18,-9999
2001-11-03,-9999
2001-11-19,-9999
2001-12-05,-9999
2001-12-21,-9999
2002-01-06,-9999
2002-01-22,-9999
2002-02-07,-9999
2002-02-23,-9999
2002-03-11,-9999
2002-03-27,-9999
2002-04-12,-9999
2002-04-28,-9999
2002-05-14,-9999
2002-05-30,-9999
2002-06-15,-9999
2002-07-01,-9999
2002-07-17,-9999
2002-08-02,-9999
2002-08-18,-9999
2002-09-03,-9999
2002-09-19,-9999
2002-10-05,-9999
2002-10-21,-9999
2002-11-06,-9999
2002-11-22,-9999
2002-12-08,-9999
2002-12-24,-9999
2003-01-09,-9999
2003-01-25,-9999
2003-02-10,-9999
2003-02-26,-9999
2003-03-14,-9999
2003-03-30,-9999
2003-04-15,-9999
2003-05-01,-9999
2003-05-17,-9999
2003-06-02,-9999
2003-06-18,-9999
2003-07-04,-9999
2003-07-20,-9999
2003-08-05,-9999
2003-08-21,-9999
2003-09-06,-9999
2003-09-22,-9999
2003-10-08,-9999
2003-10-24,-9999
2003-11-09,-9999
2003-11-25,-9999
2003-12-11,-9999
2003-12-27,-9999
2004-01-12,-9999
2004-01-28,-9999
2004-02-13,-9999
2004-02-29,-9999
2004-03-16,-9999
2004-04-01,-9999
2004-04-17,-9999
2004-05-03,-9999
2004-05-19,-9999
2004-06-04,-9999
2004-06-20,-9999
2004-07-06,-9999
2004-07-22,-9999
2004-08-07,-9999
2004-08-23,-9999
2004-09-08,-9999
2004-09-24,-9999
2004-10-10,-9999
2004-10-26,-9999
2004-11-11,-9999
2004-11-27,-9999
2004-12-13,-9999
2004-12-29,-9999
2005-01-14,-9999
2005-01-30,-9999
2005-02-15,-9999
2005-03-03,-9999
2005-03-19,-9999
2005-04-04,-9999
2005-04-20,-9999
2005-05-06,-9999
2005-05-22,-9999
2005-06-07,-9999
2005-06-23,-9999
2005-07-09,-9999
2005-07-25,-9999
2005-08-10,-9999
2005-08-26,-9999
2005-09-11,-9999
2005-09-27,-9999
2005-10-13,-9999
2005-10-29,-9999
2005-11-14,-9999
2005-11-30,-9999
2005-12-16,-9999
2006-01-01,-9999
2006-01-17,-9999
2006-02-02,-9999
2006-02-18,-9999
2006-03-06,-9999
2006-03-22,-9999
2006-04-07,-9999
2006-04-23,-9999
2006-05-09,-9999
2006-05-25,-9999
2006-06-10,-9999
2006-06-26,-9999
2006-07-12,-9999
2006-07-28,-9999
2006-08-13,-9999
2006-08-29,-9999
2006-09-14,-9999
2006-09-30,-9999
2006-10-16,-9999
2006-11-01,-9999
2006-11-17,-9999
2006-12-03,-9999
2006-12-19,-9999
2007-01-04,-9999
2007-01-20,-9999
2007-02-05,-9999
2007-02-21,-9999
2007-03-09,-9999
2007-03-25,-9999
2007-04-10,-9999
2007-04-26,-9999
2007-05-12,-9999
2007-05-28,-9999
2007-06-13,-9999
2007-06-29,-9999
2007-07-15,-9999
2007-07-31,-9999
2007-08-16,-9999
2007-09-01,-9999
2007-09-17,-9999
2007-10-03,-9999
2007-10-19,-9999
2007-11-04,-9999
2007-11-20,-9999
2007-12-06,-9999
2007-12-22,-9999
2008-01-07,-9999
2008-01-23,-9999
2008-02-08,-9999
2008-02-24,-9999
2008-03-11,-9999
2008-03-27,-9999
2008-04-12,-9999
2008-04-28,-9999
2008-05-14,-9999
2008-05-30,-9999
2008-06-15,-9999
2008-07-01,-9999
2008-07-17,-9999
2008-08-02,-9999
2008-08-18,-9999
2008-09-03,-9999
2008-09-19,-9999
2008-10-05,-9999
2008-10-21,-9999
2008-11-06,-9999
2008-11-22,-9999
2008-12-08,-9999
2008-12-24,-9999
2009-01-09,-9999
2009-01-25,-9999
2009-02-10,-9999
2009-02-26,-9999
2009-03-14,-9999
2009-03-30,-9999
2009-04-15,-9999
2009-05-01,-9999
2009-05-17,-9999
2009-06-02,-9999
2009-06-18,-9999
2009-07-04,-9999
2009-07-20,-9999
2009-08-05,-9999
2009-08-21,-9999
2009-09-06,-9999
2009-09-22,-9999
2009-10-08,-9999
2009-10-24,-9999
2009-11-09,-9999
2009-11-25,-9999
2009-12-11,-9999
2009-12-27,-9999
2010-01-12,-9999
2010-01-28,-9999
2010-02-13,-9999
2010-03-01,-9999
2010-03-17,-9999
2010-04-02,-9999
2010-04-18,-9999
2010-05-04,-9999
2010-05-20,-9999
2010-06-05,-9999
2010-06-21,-9999
2010-07-07,-9999
2010-07-23,-9999
2010-08-08,-9999
2010-08-24,-9999
2010-09-09,-9999
2010-09-25,-9999
2010-10-11,-9999
2010-10-27,-9999
2010-11-12,-9999
2010-11-28,-9999
2010-12-14,-9999
2010-12-30,-9999
2011-01-15,-9999
2011-01-31,-9999
2011-02-16,-9999
2011-03-04,-9999
2011-03-20,-9999
2011-04-05,-9999
2011-04-21,-9999
2011-05-07,-9999
2011-05-23,-9999
2011-06-08,-9999
2011-06-24,-9999
2011-07-10,-9999
2011-07-26,-9999
2011-08-11,-9999
2011-08-27,-9999
2011-09-12,-9999
2011-09-28,-9999
2011-10-14,-9999
2011-10-30,-9999
2011-11-15,-9999
2011-12-01,-9999
2011-12-17,-9999
2012-01-02,-9999
2012-01-18,-9999
2012-02-03,-9999
2012-02-19,-9999
2012-03-06,-9999
2012-03-22,-9999
2012-04-07,-9999
2012-04-23,-9999
2012-05-09,-9999
2012-05-25,-9999
2012-06-10,-9999
2012-06-26,-9999
2012-07-12,-9999
2012-07-28,-9999
2012-08-13,-9999
2012-08-29,-9999
2012-09-14,-9999
2012-09-30,-9999
2012-10-16,-9999
2012-11-01,-9999
2012-11-17,-9999
2012-12-03,-9999
2012-12-19,-9999
2013-01-04,-9999
2013-01-20,-9999
2013-02-05,-9999
2013-02-21,-9999
2013-03-09,-9999
2013-03-25,-9999
2013-04-10,-9999
2013-04-26,-9999
2013-05-12,-9999
2013-05-28,-9999
2013-06-13,-9999
2013-06-29,-9999
2013-07-15,-9999
2013-07-31,-9999
2013-08-16,-9999
2013-09-01,-9999
2013-09-17,-9999
2013-10-03,-9999
2013-10-19,-9999
