year,month,date,precip_mm_hr
2000,1,2000-01,0.01167457964375733
2000,2,2000-02,0.003714630546112356
2000,3,2000-03,0.008953357050238503
2000,4,2000-04,0.005706172056760594
2000,5,2000-05,0.013997463449012069
2000,6,2000-06,0.03604215724835591
2000,7,2000-07,0.06691685936317286
2000,8,2000-08,0.038985275202269416
2000,9,2000-09,0.02859195911026278
2000,10,2000-10,0.007460141208278545
2000,11,2000-11,0.005371710244784725
2000,12,2000-12,0.005658920137827973
2001,1,2001-01,0.0020468503074696246
2001,2,2001-02,0.004357346372674136
2001,3,2001-03,0.011269146951865882
2001,4,2001-04,0.017026396048983542
2001,5,2001-05,0.013348529239234958
2001,6,2001-06,0.04270896512866156
2001,7,2001-07,0.08614966842318474
2001,8,2001-08,0.03182450200921761
2001,9,2001-09,0.022899857470428893
2001,10,2001-10,0.008409134075391027
2001,11,2001-11,0.012880939204195986
2001,12,2001-12,0.0035558022280544207
2002,1,2002-01,0.008760268548161802
2002,2,2002-02,0.012348626186470852
2002,3,2002-03,0.019308398875172817
2002,4,2002-04,0.026762961778722238
2002,5,2002-05,0.016036929271985318
2002,6,2002-06,0.040545333874514866
2002,7,2002-07,0.038096025513047055
2002,8,2002-08,0.07048366586974024
2002,9,2002-09,0.03623196603022154
2002,10,2002-10,0.00551326124799379
2002,11,2002-11,0.0025579690509320487
2002,12,2002-12,0.00831661398458911
2003,1,2003-01,0.0038932769151599424
2003,2,2003-02,0.03220063257394363
2003,3,2003-03,0.026426550108844576
2003,4,2003-04,0.03351387758182408
2003,5,2003-05,0.037027807545957615
2003,6,2003-06,0.02590837453081834
2003,7,2003-07,0.06135278919517111
2003,8,2003-08,0.05524737264458621
2003,9,2003-09,0.06245489371092885
2003,10,2003-10,0.007436992661018605
2003,11,2003-11,0.009507504594274976
2003,12,2003-12,0.009346427128314686
2004,1,2004-01,0.013202654454863775
2004,2,2004-02,0.008703343751332865
2004,3,2004-03,0.008486639479698526
2004,4,2004-04,0.038893397171832406
2004,5,2004-05,0.03000959849599306
2004,6,2004-06,0.03563201914735935
2004,7,2004-07,0.05166639964939872
2004,8,2004-08,0.05725716516258623
2004,9,2004-09,0.027927325245535636
2004,10,2004-10,0.03747939354099428
2004,11,2004-11,0.005926784239956323
2004,12,2004-12,0.011805323542089331
2005,1,2005-01,0.012607975093454805
2005,2,2005-02,0.025762389808498598
2005,3,2005-03,0.027277243955791633
2005,4,2005-04,0.02893869257428784
2005,5,2005-05,0.03289009576176137
2005,6,2005-06,0.016558685108001306
2005,7,2005-07,0.06946049351315829
2005,8,2005-08,0.03776695723138682
2005,9,2005-09,0.03270771053242178
2005,10,2005-10,0.009736147378977746
2005,11,2005-11,0.005880236607718692
2005,12,2005-12,0.002346263838434831
2006,1,2006-01,0.020364950077679297
2006,2,2006-02,0.017585753376102825
2006,3,2006-03,0.012653694249108668
2006,4,2006-04,0.01925420175114474
2006,5,2006-05,0.012948495864018576
2006,6,2006-06,0.026305194542614742
2006,7,2006-07,0.09445947506636349
2006,8,2006-08,0.09180719072121014
2006,9,2006-09,0.04430183841967873
2006,10,2006-10,0.010345951380770995
2006,11,2006-11,0.014613612317485493
2006,12,2006-12,0.017623125281361743
2007,1,2007-01,0.001392121294611507
2007,2,2007-02,0.01607935009200429
2007,3,2007-03,0.04092507271359561
2007,4,2007-04,0.01790175374079293
2007,5,2007-05,0.022089018037043773
2007,6,2007-06,0.04877118270476177
2007,7,2007-07,0.06569434362770873
2007,8,2007-08,0.04631066292656675
2007,9,2007-09,0.03193374404360548
2007,10,2007-10,0.0033974817208294148
2007,11,2007-11,0.00467542262537463
2007,12,2007-12,0.0036470815968756842
2008,1,2008-01,0.022449882829515152
2008,2,2008-02,0.007259168122376468
2008,3,2008-03,0.004827648037570304
2008,4,2008-04,0.03938403921795535
2008,5,2008-05,0.01911290819251776
2008,6,2008-06,0.06198157216332744
2008,7,2008-07,0.05906885788624982
2008,8,2008-08,0.06826538026085932
2008,9,2008-09,0.023843891887630822
2008,10,2008-10,0.010793905120789916
2008,11,2008-11,0.015094658644671256
2008,12,2008-12,0.0241944177628472
2009,1,2009-01,0.019883233945913553
2009,2,2009-02,0.0224389151709233
2009,3,2009-03,0.01725258340982915
2009,4,2009-04,0.04227575214691798
2009,5,2009-05,0.016283474155893315
2009,6,2009-06,0.018951236759958162
2009,7,2009-07,0.03132268327200615
2009,8,2009-08,0.03408245282485112
2009,9,2009-09,0.022509643006845593
2009,10,2009-10,0.006597520941937273
2009,11,2009-11,0.007087149962249091
2009,12,2009-12,0.003734058451916008
2010,1,2010-01,0.0072454378439014795
2010,2,2010-02,0.0461706281078537
2010,3,2010-03,0.018249271844553338
2010,4,2010-04,0.03970980306408823
2010,5,2010-05,0.06116662983187616
2010,6,2010-06,0.033686792326696476
2010,7,2010-07,0.14605875909871707
2010,8,2010-08,0.10909540759688445
2010,9,2010-09,0.04015924201447383
2010,10,2010-10,0.007734045543691687
2010,11,2010-11,0.0013365484991542114
2010,12,2010-12,0.0039204612787421675
2011,1,2011-01,0.00593817970438446
2011,2,2011-02,0.051884031902177156
2011,3,2011-03,0.023199911411258118
2011,4,2011-04,0.030433118955418854
2011,5,2011-05,0.011786954261017236
2011,6,2011-06,0.03190175366022304
2011,7,2011-07,0.05537907725961819
2011,8,2011-08,0.05711479632855548
2011,9,2011-09,0.05412326383426786
2011,10,2011-10,0.017109426169223254
2011,11,2011-11,0.009408261032671032
2011,12,2011-12,0.0031732080065139077
2012,1,2012-01,0.008848120679234898
2012,2,2012-02,0.012929430024782411
2012,3,2012-03,0.022591090222570383
2012,4,2012-04,0.03310089537237907
2012,5,2012-05,0.016732722365218906
2012,6,2012-06,0.014260212391761954
2012,7,2012-07,0.041183067963467164
2012,8,2012-08,0.05899784491384139
2012,9,2012-09,0.08762754678090111
2012,10,2012-10,0.004509898436867926
2012,11,2012-11,0.003113435180165747
2012,12,2012-12,0.009166897558154582
2013,1,2013-01,0.0037345479505822023
2013,2,2013-02,0.04058481702038422
2013,3,2013-03,0.019750758569586763
2013,4,2013-04,0.02779013223103979
2013,5,2013-05,0.028363304786588408
2013,6,2013-06,0.0635444141580505
2013,7,2013-07,0.0645372554148633
2013,8,2013-08,0.11034074569121693
2013,9,2013-09,0.03711970027108511
2013,10,2013-10,0.011099345387557719
2013,11,2013-11,0.004440032516533998
2013,12,2013-12,0.0026591081919969243
2014,1,2014-01,0.00270616668619976
2014,2,2014-02,0.011128827379225093
2014,3,2014-03,0.0449954740688271
2014,4,2014-04,0.018449045668750528
2014,5,2014-05,0.033226725297921395
2014,6,2014-06,0.018024544755805876
2014,7,2014-07,0.054298340287353614
2014,8,2014-08,0.03995734951332302
2014,9,2014-09,0.10326427073098786
2014,10,2014-10,0.019606289999314783
2014,11,2014-11,0.006223503637915503
2014,12,2014-12,0.0008911982379948439
2015,1,2015-01,0.004024263615937468
2015,2,2015-02,0.03929607406175059
2015,3,2015-03,0.04267540357396688
2015,4,2015-04,0.051605475904058104
2015,5,2015-05,0.03841991282500931
2015,6,2015-06,0.043461416278894
2015,7,2015-07,0.12453755906254514
2015,8,2015-08,0.06399761487958894
2015,9,2015-09,0.040142544355195264
2015,10,2015-10,0.03553737694435841
2015,11,2015-11,0.02293391971674682
2015,12,2015-12,0.005784494155796244
2016,1,2016-01,0.008036765430640955
2016,2,2016-02,0.010253469889586543
2016,3,2016-03,0.04459752803523848
2016,4,2016-04,0.05714153501866298
2016,5,2016-05,0.029420826759180497
2016,6,2016-06,0.0378663847807734
2016,7,2016-07,0.06770174206527434
2016,8,2016-08,0.051502964103579386
2016,9,2016-09,0.020901105490507554
2016,10,2016-10,0.006783280068374673
2016,11,2016-11,0.002212876687801223
2016,12,2016-12,0.0026861942185465574
2017,1,2017-01,0.0202587579118212
2017,2,2017-02,0.025525798937315356
2017,3,2017-03,0.01650237405573418
2017,4,2017-04,0.06248165818057893
2017,5,2017-05,0.014958136041984744
2017,6,2017-06,0.04863351655743714
2017,7,2017-07,0.05124690122672436
2017,8,2017-08,0.0432619917789368
2017,9,2017-09,0.01952749819506839
2017,10,2017-10,0.004258216339110372
2017,11,2017-11,0.0044570658172182545
2017,12,2017-12,0.005585449884744479
2018,1,2018-01,0.0013545813380133225
2018,2,2018-02,0.008685264104347161
2018,3,2018-03,0.017849029663954755
2018,4,2018-04,0.04833172425831894
2018,5,2018-05,0.042158767581558065
2018,6,2018-06,0.040857713618853486
2018,7,2018-07,0.08242896997863892
2018,8,2018-08,0.05180909988298566
2018,9,2018-09,0.0452093582693375
2018,10,2018-10,0.0129592860739356
2018,11,2018-11,0.01917379046454531
2018,12,2018-12,0.0027976282012747017
2019,1,2019-01,0.016549591676942206
2019,2,2019-02,0.015989353842797382
2019,3,2019-03,0.018204205235460673
2019,4,2019-04,0.02571248928509315
2019,5,2019-05,0.028258631390890264
2019,6,2019-06,0.0365807056811923
2019,7,2019-07,0.06331372103713812
2019,8,2019-08,0.05141895294866673
2019,9,2019-09,0.022609745387709847
2019,10,2019-10,0.013645771712698684
2019,11,2019-11,0.03508910492618534
2019,12,2019-12,0.0022508230610844364
2020,1,2020-01,0.015611118976746528
2020,2,2020-02,0.00736288274340735
2020,3,2020-03,0.04034847386977574
2020,4,2020-04,0.04015172849251951
2020,5,2020-05,0.0406006426577935
2020,6,2020-06,0.0241991506912237
2020,7,2020-07,0.03779141323012287
2020,8,2020-08,0.11909487830879284
2020,9,2020-09,0.03096787997753041
2020,10,2020-10,0.005642262710968676
2020,11,2020-11,0.018482592853913876
2020,12,2020-12,0.005710307933854825
2021,1,2021-01,0.005718842030614782
2021,2,2021-02,0.0066104751367421204
2021,3,2021-03,0.029620085300672727
2021,4,2021-04,0.022276860906736057
2021,5,2021-05,0.025209247075736123
2021,6,2021-06,0.02255715292352898
2021,7,2021-07,0.07563396118272717
2021,8,2021-08,0.030869750737205204
2021,9,2021-09,0.049504090625960874
2021,10,2021-10,0.03161210537712801
2021,11,2021-11,0.000988113245523062
2021,12,2021-12,0.0030849278750690098
2022,1,2022-01,0.019749082742351685
2022,2,2022-02,0.005812117375972602
2022,3,2022-03,0.011211018855254192
2022,4,2022-04,0.01145727578483487
2022,5,2022-05,0.029850362559861603
2022,6,2022-06,0.05770036312716849
2022,7,2022-07,0.11972820333539254
2022,8,2022-08,0.09633615073198833
2022,9,2022-09,0.03854639191072705
2022,10,2022-10,0.014622265166291306
2022,11,2022-11,0.018245399626513177
2022,12,2022-12,0.001663439346673618
2023,1,2023-01,0.011346543968213697
2023,2,2023-02,0.008586344235868298
2023,3,2023-03,0.009486338804447794
2023,4,2023-04,0.038630948735619536
2023,5,2023-05,0.0477607201468311
2023,6,2023-06,0.0308568730023987
2023,7,2023-07,0.1234368936499276
2023,8,2023-08,0.02643110801831115
2023,9,2023-09,0.03569843490051962
2023,10,2023-10,0.022877069162585018
2023,11,2023-11,0.012921288512874118
2023,12,2023-12,0.0007978920964874325
2024,1,2024-01,0.0055737972445799215
2024,2,2024-02,0.01680342056734805
2024,3,2024-03,0.038576062791014894
2024,4,2024-04,0.05473783733209789
2024,5,2024-05,0.011665159505136078
2024,6,2024-06,0.018222150534092114
2024,7,2024-07,0.04228205434101904
2024,8,2024-08,0.060763763402826104
2024,9,2024-09,0.028493755433717606
2024,10,2024-10,0.016856441727440365
2024,11,2024-11,0.007452646666223126
2024,12,2024-12,0.0012059308731154226
