,date,sca_km2,sca_m2
0,2000-02-29,20719.275465915583,20719275465.915585
1,2000-03-31,32510.026997530033,32510026997.530033
2,2000-04-30,39144.71341913584,39144713419.13584
3,2000-05-31,33300.1446548067,33300144654.8067
4,2000-06-30,15695.091987669004,15695091987.669004
5,2000-07-31,6188.4349626529065,6188434962.652906
6,2000-08-31,9724.76880259344,9724768802.593441
7,2000-09-30,12888.810599153408,12888810599.153408
8,2000-10-31,19583.6237360288,19583623736.0288
9,2000-11-30,21183.674218299217,21183674218.299217
10,2000-12-31,36902.80038527945,36902800385.27945
11,2001-01-31,35286.36877045779,35286368770.45779
12,2001-02-28,25131.303245473955,25131303245.473953
13,2001-03-31,46124.160930939994,46124160930.939995
14,2001-04-30,34841.22505249145,34841225052.49145
15,2001-05-31,37103.59271544621,37103592715.44621
16,2001-06-30,9662.619269168916,9662619269.168915
17,2001-07-31,9362.950147021733,9362950147.021732
18,2001-08-31,9942.814732815174,9942814732.815174
19,2001-09-30,14999.81931449766,14999819314.49766
20,2001-10-31,27495.641844724003,27495641844.724003
21,2001-11-30,52083.95941703486,52083959417.03486
22,2001-12-31,34206.69039649214,34206690396.492138
23,2002-01-31,50614.96103990027,50614961039.90027
24,2002-02-28,30466.26062069571,30466260620.69571
25,2002-03-31,55453.96909477716,55453969094.77716
26,2002-04-30,40915.03869176163,40915038691.76163
27,2002-05-31,41644.82151729908,41644821517.29908
28,2002-06-30,29683.6402331422,29683640233.1422
29,2002-07-31,11222.449887183748,11222449887.183748
30,2002-08-31,12334.558266893751,12334558266.893751
31,2002-09-30,14936.98314549575,14936983145.495749
32,2002-10-31,24988.32286571158,24988322865.71158
33,2002-11-30,25497.316897726807,25497316897.726807
34,2002-12-31,20704.89209237855,20704892092.37855
35,2003-01-31,19289.24983884913,19289249838.84913
36,2003-02-28,24566.683633457975,24566683633.457973
37,2003-03-31,27161.848478383392,27161848478.383392
38,2003-04-30,44836.5070364214,44836507036.421394
39,2003-05-31,42845.964282876856,42845964282.876854
40,2003-06-30,35350.1665524691,35350166552.4691
41,2003-07-31,18789.20751653323,18789207516.53323
42,2003-08-31,7810.219279550406,7810219279.550406
43,2003-09-30,12825.099311109983,12825099311.109983
44,2003-10-31,40367.71672513756,40367716725.13756
45,2003-11-30,32640.535620685267,32640535620.68527
46,2003-12-31,21386.923918575587,21386923918.57559
47,2004-01-31,24113.67244896904,24113672448.96904
48,2004-02-29,49067.49748090081,49067497480.90081
49,2004-03-31,46150.31196062484,46150311960.62484
50,2004-04-30,33003.45795949033,33003457959.490334
51,2004-05-31,45897.22520887404,45897225208.87404
52,2004-06-30,25090.852587250098,25090852587.2501
53,2004-07-31,13965.86149430684,13965861494.30684
54,2004-08-31,11404.79482436844,11404794824.36844
55,2004-09-30,16392.18775054398,16392187750.543982
56,2004-10-31,36703.18871195528,36703188711.95528
57,2004-11-30,38248.79514912641,38248795149.12641
58,2004-12-31,18909.696108301985,18909696108.301987
59,2005-01-31,35723.65276190243,35723652761.90243
60,2005-02-28,14871.470726849251,14871470726.84925
61,2005-03-31,34710.91682861487,34710916828.61487
62,2005-04-30,46489.99807285245,46489998072.852455
63,2005-05-31,25892.87865565575,25892878655.65575
64,2005-06-30,41082.255906344006,41082255906.34401
65,2005-07-31,16319.874658471414,16319874658.471413
66,2005-08-31,13111.046524649011,13111046524.649012
67,2005-09-30,15605.38222356248,15605382223.562479
68,2005-10-31,30175.023673694843,30175023673.694843
69,2005-11-30,23410.86334344422,23410863343.44422
70,2005-12-31,32220.802682480506,32220802682.480507
71,2006-01-31,20150.01146223726,20150011462.23726
72,2006-02-28,29527.950112072413,29527950112.072414
73,2006-03-31,38211.54963780661,38211549637.80661
74,2006-04-30,51283.649520408224,51283649520.408226
75,2006-05-31,45493.76441600549,45493764416.00549
76,2006-06-30,21003.948026468533,21003948026.468533
77,2006-07-31,17872.493245315316,17872493245.315315
78,2006-08-31,6477.585784955661,6477585784.955662
79,2006-09-30,18116.313826177324,18116313826.177322
80,2006-10-31,23658.51162277434,23658511622.774338
81,2006-11-30,27242.749530423913,27242749530.423912
82,2006-12-31,37378.24114525296,37378241145.25296
83,2007-01-31,46594.27564315977,46594275643.159775
84,2007-02-28,19075.54963375376,19075549633.753757
85,2007-03-31,40148.26622914059,40148266229.14059
86,2007-04-30,58792.63032384228,58792630323.84228
87,2007-05-31,27139.849336633783,27139849336.63378
88,2007-06-30,25674.494582605468,25674494582.60547
89,2007-07-31,12879.37288442068,12879372884.42068
90,2007-08-31,7738.83861012902,7738838610.12902
91,2007-09-30,13296.227387243382,13296227387.243382
92,2007-10-31,20351.485753182023,20351485753.182022
93,2007-11-30,20731.187628941658,20731187628.941658
94,2007-12-31,22722.813127586076,22722813127.586075
95,2008-01-31,15748.069460296872,15748069460.296873
96,2008-02-29,38435.64972608461,38435649726.08461
97,2008-03-31,45594.265005553454,45594265005.55345
98,2008-04-30,35238.68242230066,35238682422.30066
99,2008-05-31,36108.60372150191,36108603721.50191
100,2008-06-30,20088.08542044888,20088085420.44888
101,2008-07-31,11093.9229203584,11093922920.3584
102,2008-08-31,8901.75537484543,8901755374.84543
103,2008-09-30,21977.90570746086,21977905707.46086
104,2008-10-31,26799.32472360228,26799324723.60228
105,2008-11-30,25829.221405156968,25829221405.156967
106,2008-12-31,30307.919551057297,30307919551.057297
107,2009-01-31,29951.013510591096,29951013510.591095
108,2009-02-28,30281.442082442616,30281442082.442616
109,2009-03-31,33591.76867473063,33591768674.73063
110,2009-04-30,34791.93667363114,34791936673.63114
111,2009-05-31,48267.17448680888,48267174486.808876
112,2009-06-30,26619.476729971484,26619476729.971485
113,2009-07-31,23287.40159565916,23287401595.65916
114,2009-08-31,18939.4805775704,18939480577.5704
115,2009-09-30,18899.38057598307,18899380575.983067
116,2009-10-31,19150.574114631887,19150574114.631886
117,2009-11-30,34975.22284324011,34975222843.24011
118,2009-12-31,35013.13497446384,35013134974.463844
119,2010-01-31,37224.812688705155,37224812688.705154
120,2010-02-28,20376.4470534705,20376447053.4705
121,2010-03-31,45060.10317087391,45060103170.87391
122,2010-04-30,34254.06064044298,34254060640.442978
123,2010-05-31,37029.69874254918,37029698742.54918
124,2010-06-30,28591.226080277767,28591226080.277767
125,2010-07-31,24993.022280388697,24993022280.3887
126,2010-08-31,12424.51821634189,12424518216.34189
127,2010-09-30,12753.806007212095,12753806007.212095
128,2010-10-31,30557.54748792927,30557547487.92927
129,2010-11-30,30086.729637414403,30086729637.414402
130,2010-12-31,17388.91261536345,17388912615.36345
131,2011-01-31,36386.40745997303,36386407459.97303
132,2011-02-28,20382.730034076296,20382730034.076294
133,2011-03-31,47454.21930433659,47454219304.33659
134,2011-04-30,53292.26539030595,53292265390.30595
135,2011-05-31,47910.15863814949,47910158638.14949
136,2011-06-30,25568.78539928483,25568785399.28483
137,2011-07-31,10348.73217475509,10348732174.75509
138,2011-08-31,11648.65516179564,11648655161.795639
139,2011-09-30,14717.445695709412,14717445695.709412
140,2011-10-31,22473.538537569195,22473538537.569195
141,2011-11-30,25616.682605117137,25616682605.117138
142,2011-12-31,28335.98096999336,28335980969.993362
143,2012-01-31,26371.952656969843,26371952656.96984
144,2012-02-29,18420.67880545181,18420678805.451813
145,2012-03-31,26422.13169597908,26422131695.97908
146,2012-04-30,28458.092853401064,28458092853.401062
147,2012-05-31,31129.7742411499,31129774241.1499
148,2012-06-30,23747.180504323795,23747180504.323795
149,2012-07-31,17681.67146813108,17681671468.13108
150,2012-08-31,9653.004829646492,9653004829.646492
151,2012-09-30,12057.9435994707,12057943599.4707
152,2012-10-31,27928.75679889039,27928756798.89039
153,2012-11-30,31815.812608865726,31815812608.865726
154,2012-12-31,31389.038474448906,31389038474.448906
155,2013-01-31,39090.08779327089,39090087793.27089
156,2013-02-28,26262.070245504725,26262070245.504726
157,2013-03-31,44684.04123545196,44684041235.45196
158,2013-04-30,32453.087367149776,32453087367.149776
159,2013-05-31,38828.60921365224,38828609213.652245
160,2013-06-30,36008.470203541816,36008470203.54182
161,2013-07-31,17107.43090495986,17107430904.95986
162,2013-08-31,8900.394835712394,8900394835.712393
163,2013-09-30,16679.457643523798,16679457643.523798
164,2013-10-31,20894.38480316019,20894384803.160187
165,2013-11-30,37787.99972696367,37787999726.96368
166,2013-12-31,21733.43778645753,21733437786.457527
167,2014-01-31,32368.436137672827,32368436137.672825
168,2014-02-28,24713.285756277335,24713285756.277336
169,2014-03-31,28822.5561696204,28822556169.6204
170,2014-04-30,39314.90724247249,39314907242.47249
171,2014-05-31,33884.02649845149,33884026498.45149
172,2014-06-30,34525.83246736814,34525832467.36814
173,2014-07-31,17688.79756613097,17688797566.13097
174,2014-08-31,11754.791386318604,11754791386.318604
175,2014-09-30,22917.953618483676,22917953618.483677
176,2014-10-31,21272.479731157702,21272479731.157703
177,2014-11-30,34365.96524566661,34365965245.66661
178,2014-12-31,28171.54774875952,28171547748.75952
179,2015-01-31,30135.473227130355,30135473227.130356
180,2015-02-28,25484.72520249835,25484725202.49835
181,2015-03-31,32140.16132766356,32140161327.663563
182,2015-04-30,55274.40657658417,55274406576.584175
183,2015-05-31,39451.563714611875,39451563714.61188
184,2015-06-30,27367.43857848033,27367438578.48033
185,2015-07-31,20933.74520904158,20933745209.04158
186,2015-08-31,9768.756582064998,9768756582.064999
187,2015-09-30,17813.73801971953,17813738019.719532
188,2015-10-31,42865.098457610395,42865098457.6104
189,2015-11-30,33722.18522189132,33722185221.89132
190,2015-12-31,42723.38436025918,42723384360.25918
191,2016-01-31,40735.16401790216,40735164017.90216
192,2016-02-29,48955.80357965553,48955803579.655525
193,2016-03-31,33114.526490220895,33114526490.220894
194,2016-04-30,35098.50402070048,35098504020.70048
195,2016-05-31,42283.39535270098,42283395352.70098
196,2016-06-30,24611.922278035836,24611922278.035835
197,2016-07-31,12285.800862375128,12285800862.375128
198,2016-08-31,5300.63208943765,5300632089.437651
199,2016-09-30,16679.64428934477,16679644289.34477
200,2016-10-31,16552.693583202774,16552693583.202774
201,2016-11-30,13946.44247422987,13946442474.22987
202,2016-12-31,30105.478342625895,30105478342.625896
203,2017-01-31,17013.660887229988,17013660887.229988
204,2017-02-28,40943.795426435885,40943795426.43588
205,2017-03-31,29264.063832578187,29264063832.578186
206,2017-04-30,49735.62095180927,49735620951.80927
207,2017-05-31,44455.1995879879,44455199587.9879
208,2017-06-30,27575.868072807676,27575868072.807674
209,2017-07-31,11625.992372152135,11625992372.152136
210,2017-08-31,8894.402070646891,8894402070.64689
211,2017-09-30,12809.489084927802,12809489084.927801
212,2017-10-31,18887.937567112574,18887937567.112576
213,2017-11-30,21237.74544470052,21237745444.70052
214,2017-12-31,25583.559399002505,25583559399.002506
215,2018-01-31,40561.980785030704,40561980785.0307
216,2018-02-28,25589.366275196055,25589366275.196056
217,2018-03-31,44661.19983433922,44661199834.33922
218,2018-04-30,47069.252922671054,47069252922.67105
219,2018-05-31,29397.949927797046,29397949927.797047
220,2018-06-30,23093.262392351506,23093262392.351505
221,2018-07-31,12584.435070981046,12584435070.981047
222,2018-08-31,10223.936659464203,10223936659.464203
223,2018-09-30,16697.70479157952,16697704791.57952
224,2018-10-31,34474.47922255777,34474479222.55777
225,2018-11-30,38771.282997157825,38771282997.15782
226,2018-12-31,46178.08237748514,46178082377.48514
227,2019-01-31,26477.043243931384,26477043243.931385
228,2019-02-28,24344.07923763848,24344079237.63848
229,2019-03-31,40189.3419125896,40189341912.58961
230,2019-04-30,44066.99839462366,44066998394.62366
231,2019-05-31,38975.62888263504,38975628882.63504
232,2019-06-30,26970.667597531192,26970667597.531193
233,2019-07-31,25764.123258706277,25764123258.706276
234,2019-08-31,10819.563895714957,10819563895.714956
235,2019-09-30,14612.094009303924,14612094009.303925
236,2019-10-31,21256.21232367977,21256212323.67977
237,2019-11-30,25949.834707092956,25949834707.092957
238,2019-12-31,51121.62220310126,51121622203.10126
239,2020-01-31,31212.682959359667,31212682959.359665
240,2020-02-29,56406.42615246252,56406426152.46252
241,2020-03-31,35028.46901521319,35028469015.21319
242,2020-04-30,44248.44092377261,44248440923.772606
243,2020-05-31,34293.25422023796,34293254220.237965
244,2020-06-30,26969.162177003534,26969162177.003536
245,2020-07-31,15143.73322346403,15143733223.464031
246,2020-08-31,10631.482715801776,10631482715.801777
247,2020-09-30,13812.28815284301,13812288152.84301
248,2020-10-31,19326.600119231185,19326600119.231186
249,2020-11-30,23546.11296156464,23546112961.56464
250,2020-12-31,35518.78830609941,35518788306.09941
251,2021-01-31,50536.90177940208,50536901779.40208
252,2021-02-28,36720.2623106996,36720262310.6996
253,2021-03-31,23920.37900395657,23920379003.95657
254,2021-04-30,45819.79251522433,45819792515.224335
255,2021-05-31,37274.20373933068,37274203739.33068
256,2021-06-30,28850.609194249315,28850609194.249313
257,2021-07-31,15501.967616777823,15501967616.777822
258,2021-08-31,9047.690255321177,9047690255.321177
259,2021-09-30,16877.514870605082,16877514870.605082
260,2021-10-31,31784.931938333237,31784931938.333237
261,2021-11-30,48010.443476045344,48010443476.04534
262,2021-12-31,35308.07633433587,35308076334.33587
263,2022-01-31,30529.07345484956,30529073454.84956
264,2022-02-28,36973.919463451595,36973919463.45159
265,2022-03-31,45281.36473040607,45281364730.406075
266,2022-04-30,47013.76978704685,47013769787.046844
267,2022-05-31,24798.524511238666,24798524511.238667
268,2022-06-30,19075.8122220734,19075812222.0734
269,2022-07-31,12062.115257751251,12062115257.751251
270,2022-08-31,6356.644570691417,6356644570.691418
271,2022-09-30,16345.343494799155,16345343494.799156
272,2022-10-31,19924.568168760215,19924568168.760216
273,2022-11-30,43200.95275909269,43200952759.09269
274,2022-12-31,33115.42790288577,33115427902.885773
275,2023-01-31,26589.760121670875,26589760121.670876
276,2023-02-28,30346.205886277225,30346205886.277225
277,2023-03-31,42864.252875684426,42864252875.684425
278,2023-04-30,46745.46058614886,46745460586.14886
279,2023-05-31,33371.09159493405,33371091594.934048
280,2023-06-30,35120.316937666736,35120316937.66673
281,2023-07-31,13757.60131342428,13757601313.42428
282,2023-08-31,13038.411253352806,13038411253.352806
283,2023-09-30,14035.759781876011,14035759781.87601
284,2023-10-31,32968.57057184322,32968570571.843224
285,2023-11-30,31274.89233722473,31274892337.22473
286,2023-12-31,31082.69550236418,31082695502.364178
287,2024-01-31,21114.130001794736,21114130001.794735
288,2024-02-29,33409.59063547994,33409590635.47994
289,2024-03-31,34710.393906848316,34710393906.84831
290,2024-04-30,39953.250394740935,39953250394.74094
291,2024-05-31,51088.43202903794,51088432029.03794
292,2024-06-30,21712.173395239315,21712173395.239315
293,2024-07-31,13903.144812580542,13903144812.580542
294,2024-08-31,9028.70692811027,9028706928.11027
295,2024-09-30,13007.263150748133,13007263150.748133
296,2024-10-31,20729.155314549815,20729155314.549816
297,2024-11-30,31244.886536395457,31244886536.39546
298,2024-12-31,32519.83285602813,32519832856.02813
299,2025-01-31,33978.61633721877,33978616337.218773
300,2025-02-28,32174.111135530064,32174111135.530064
301,2025-03-31,42003.27053297101,42003270532.97101
302,2025-04-30,60577.01974881834,60577019748.818344
303,2025-05-31,38903.43265971276,38903432659.71276
304,2025-06-30,25382.326902663503,25382326902.6635
305,2025-07-31,9439.384405736271,9439384405.73627
306,2025-08-31,11256.24746781228,11256247467.81228
307,2025-09-30,16691.511775832176,16691511775.832176
308,2025-10-31,34178.031965914975,34178031965.914974
309,2025-11-30,26484.525265705524,26484525265.705524
310,2025-12-31,12801.323787311174,12801323787.311174
